,date,open,volume_usdt,trade_count,volume_asset,asset_coin,base_coin,avg_trade_asset,avg_trade_usdt,delta_value,delta_range
4140,2020-05-13,6.084,9574878.506201,25697.0,1554771.8,ETC,USDT,60.50401992450481,372.60686096435387,0.02144970414201192,0.2887999999999993
4141,2020-05-12,6.0147,11387090.661593,30137.0,1871247.76,ETC,USDT,62.0913747221024,377.8442002054949,0.012319816449698174,0.3401000000000005
4142,2020-05-11,6.1879,20696855.674928,58542.0,3433222.19,ETC,USDT,58.64545437463701,353.5385821278398,-0.02769921944439959,0.7244000000000002
4143,2020-05-10,7.0578,39988048.762454,120276.0,6505711.89,ETC,USDT,54.0898590741295,332.4690608471682,-0.12282864348663892,1.5328
4144,2020-05-09,7.1453,10972640.434941,29872.0,1533992.13,ETC,USDT,51.352173607391535,367.32192136251336,-0.012721649195974911,0.2629999999999999
4145,2020-05-08,7.096,13388380.749696,36571.0,1874996.95,ETC,USDT,51.27004867244538,366.0928262748079,0.0068348365276211616,0.38459999999999983
4146,2020-05-07,6.8352,16923810.587682,47353.0,2412697.21,ETC,USDT,50.951306358625644,357.39679825316244,0.03727762172284636,0.4453000000000005
4147,2020-05-06,7.1911,15105171.742355,45527.0,2109888.25,ETC,USDT,46.34366969051332,331.78491318020076,-0.04911626872105788,0.5429999999999993
4148,2020-05-05,7.2127,23032700.783334,58402.0,3172857.62,ETC,USDT,54.32789322283484,394.3820551236944,-0.0030779042522217446,0.48799999999999955
4149,2020-05-04,7.2092,29248892.663183,76235.0,4163401.1,ETC,USDT,54.61272512625435,383.66751050282676,0.0006658159019031736,0.7196000000000007
4150,2020-05-03,7.4742,34764847.734632,91116.0,4745207.26,ETC,USDT,52.07874862812239,381.54492882295096,-0.0356559899387225,0.6102000000000007
4151,2020-05-02,6.6491,32789496.496876,101274.0,4584273.89,ETC,USDT,45.266049430258505,323.77013346837293,0.12374607089681311,1.0626000000000007
4152,2020-05-01,6.4402,12549343.309355,42973.0,1902739.36,ETC,USDT,44.27755474367626,292.02856001105346,0.0321108040122978,0.2633000000000001
4153,2020-04-30,6.745,21760248.994011,70810.0,3270923.59,ETC,USDT,46.192961304900436,307.30474500792263,-0.04495181616011866,0.7089999999999996
4154,2020-04-29,6.1423,26745721.107096,73348.0,4105988.78,ETC,USDT,55.979560178873314,364.6414504430387,0.09784608371456946,0.7753000000000005
4155,2020-04-28,6.1009,9094446.502074,27978.0,1498521.84,ETC,USDT,53.56072056615913,325.0570627662449,0.006785884049894186,0.22090000000000032
4156,2020-04-27,6.2158,17321720.376677,46488.0,2844079.99,ETC,USDT,61.17879861469627,372.60627208477456,-0.018147302036745073,0.34499999999999975
4157,2020-04-26,5.7485,19922085.840729,61123.0,3315421.98,ETC,USDT,54.24180717569491,325.93435925476496,0.08130816734800392,0.5284999999999993
4158,2020-04-25,5.5945,8630543.057191,30542.0,1511962.61,ETC,USDT,49.50437463165478,282.5794989585161,0.027795155956743225,0.3290999999999995
4159,2020-04-24,5.5994,9372007.170543,27832.0,1669154.97,ETC,USDT,59.97251257545272,336.7349515141923,-0.0011251205486302847,0.1844999999999999
4160,2020-04-23,5.3877,11411882.545018,33753.0,2053600.59,ETC,USDT,60.84201670962582,338.09979987017454,0.039924271952781434,0.4939999999999998
4161,2020-04-22,5.1993,6079343.76424,19853.0,1143155.8,ETC,USDT,57.58101042663578,306.2178897013046,0.03604331352297429,0.3006000000000002
4162,2020-04-21,5.2209,7921382.113296,29092.0,1519922.63,ETC,USDT,52.24538120445483,272.28729937082363,-0.004137217721082626,0.18909999999999982
4163,2020-04-20,5.4787,10053323.668336,35073.0,1860759.24,ETC,USDT,53.05389444872124,286.6399700149973,-0.04632485808677241,0.45450000000000035
